time frame,fish count,bear count
0,10,10
1,10,10
2,10,10
3,10,10
4,10,10
5,10,10
6,10,10
7,10,10
8,10,10
9,10,10
10,10,10
11,10,10
12,10,10
13,10,10
14,10,10
15,10,10
16,10,10
17,10,10
18,10,10
19,10,10
20,10,10
21,10,10
22,10,10
23,10,10
24,10,10
25,10,10
26,10,10
27,10,10
28,10,10
29,10,10
30,10,10
31,10,10
32,10,10
33,10,10
34,10,10
35,10,10
36,10,10
37,10,10
38,10,10
39,10,10
40,10,10
41,10,10
42,10,10
43,10,10
44,10,10
45,10,10
46,10,10
47,10,10
48,10,10
49,10,10
50,10,10
51,10,10
52,10,10
53,10,10
54,10,10
55,10,10
56,10,10
57,10,10
58,10,10
59,10,10
60,10,10
61,10,10
62,10,10
63,10,10
64,10,10
65,10,10
66,10,10
67,10,10
68,10,10
69,10,10
70,10,10
71,10,10
72,10,10
73,10,10
74,10,10
75,10,10
76,10,10
77,10,10
78,10,10
79,10,10
80,10,10
81,10,10
82,10,10
83,10,10
84,10,10
85,10,10
86,10,10
87,10,10
88,10,11
89,10,12
90,10,12
91,10,12
92,10,12
93,10,12
94,10,12
95,10,12
96,10,12
97,10,12
98,10,12
99,10,12
100,10,12
101,10,12
102,10,11
103,10,11
104,10,11
105,10,11
106,10,11
107,10,11
108,10,11
109,10,11
110,10,11
111,10,12
112,10,12
113,10,12
114,10,12
115,10,13
116,10,13
117,10,13
118,10,13
119,10,13
120,10,13
121,10,12
122,10,12
123,10,12
124,10,12
125,10,12
126,10,12
127,10,12
128,10,12
129,10,12
130,10,12
131,10,12
132,10,13
133,10,13
134,10,13
135,10,13
136,10,13
137,10,13
138,10,13
139,10,13
140,10,13
141,10,13
142,10,12
143,10,12
144,10,12
145,10,12
146,10,12
147,10,12
148,11,12
149,11,12
150,11,12
151,11,12
152,11,12
153,11,12
154,11,12
155,11,12
156,11,12
157,11,12
158,11,12
159,11,12
160,11,13
161,11,13
162,11,13
163,11,13
164,11,13
165,11,13
166,11,13
167,11,13
168,11,13
169,11,13
170,12,13
171,12,13
172,12,13
173,12,13
174,12,12
175,12,12
176,12,12
177,12,12
178,12,12
179,12,12
180,12,12
181,12,12
182,12,12
183,12,12
184,12,11
185,12,11
186,12,11
187,12,11
188,12,10
189,12,10
190,12,10
191,12,10
192,12,10
193,12,10
194,12,10
195,12,10
196,12,10
197,12,10
198,12,10
199,12,11
200,12,11
201,12,11
202,12,11
203,12,11
204,12,12
205,12,12
206,12,12
207,12,12
208,12,12
209,12,12
210,12,12
211,12,12
212,12,12
213,12,12
214,12,12
215,12,12
216,12,12
217,12,11
218,12,10
219,12,10
220,12,10
221,12,10
222,12,10
223,12,10
224,12,10
225,12,10
226,12,10
227,12,10
228,12,10
229,12,10
230,12,10
231,12,10
232,12,10
233,13,10
234,13,10
235,14,10
236,14,10
237,14,10
238,14,10
239,14,10
240,14,10
241,14,10
242,14,10
243,14,10
244,14,10
245,14,11
246,14,11
247,14,11
248,14,11
249,14,11
250,14,11
251,14,11
252,14,11
253,14,11
254,14,11
255,14,11
256,14,11
257,14,11
258,14,11
259,14,11
260,14,12
261,14,12
262,15,12
263,15,12
264,15,12
265,15,12
266,16,12
267,16,12
268,16,12
269,16,12
270,16,13
271,16,13
272,16,12
273,16,12
274,16,12
275,16,12
276,16,12
277,16,12
278,16,12
279,16,12
280,16,13
281,16,13
282,16,13
283,16,13
284,16,13
285,16,13
286,16,13
287,16,13
288,16,12
289,16,12
290,17,12
291,17,12
292,17,12
293,17,12
294,17,12
295,17,12
296,17,12
297,16,12
298,16,12
299,16,12
300,17,12
301,16,12
302,16,12
303,16,12
304,15,12
305,15,12
306,15,12
307,15,12
308,15,12
309,15,12
310,15,12
311,15,12
312,15,12
313,15,12
314,15,12
315,15,12
316,15,12
317,15,12
318,15,12
319,15,12
320,15,12
321,15,12
322,15,12
323,15,12
324,15,12
325,15,11
326,15,12
327,15,12
328,15,12
329,15,12
330,15,12
331,15,12
332,15,12
333,15,12
334,15,12
335,15,12
336,15,12
337,15,12
338,15,12
339,15,12
340,15,12
341,15,12
342,15,12
343,15,12
344,15,12
345,15,12
346,15,13
347,15,13
348,15,13
349,15,13
350,15,13
351,15,13
352,15,13
353,15,13
354,15,12
355,15,12
356,15,12
357,15,12
358,15,12
359,15,12
360,15,12
361,15,12
362,15,12
363,15,12
364,15,12
365,15,12
366,15,12
367,15,12
368,15,12
369,15,12
370,15,12
371,15,12
372,15,12
373,15,12
374,15,13
375,15,13
376,15,13
377,14,13
378,14,13
379,14,13
